root_cause_id,domain,risk_level,expected_condition,root_cause_name
PERF-SQL-CPU-003-RC12,PERF,medium,row_count > 0 AND histogram = 'FREQUENCY' or 'TOP-FREQUENCY',Row distribution skew in parallel aggregations
PERF-SQL-CPU-003-RC13,PERF,medium,time_waited_secs > 10,Overhead of parallel merge/gather operations
PERF-SQL-CPU-003-RC14,PERF,medium,SYS_TIME / (SYS_TIME + USER_TIME) > 0.3,Context switches from over-subscription of threads
PERF-SQL-CPU-003-RC15,PERF,medium,cf_ratio > 0.5 AND blevel > 3,Parallel index scan with fragmentation
PERF-SQL-CPU-003-RC16,PERF,medium,avg_wait_ms > 10,Insufficient readahead queue for parallel scans
PERF-SQL-CPU-003-RC17,PERF,medium,cardinality > 10000,Parallel nested loop join with high iteration count
PERF-SQL-CPU-003-RC19,PERF,medium,NUM_CPU_SOCKETS > 1,Parallel execution on single-socket NUMA systems
PERF-SQL-CPU-003-RC20,PERF,medium,send_count > 3,Excessive exchange (shuffle) between parallel workers
PERF-SQL-CPU-003-RC21,PERF,medium,avg_wait_ms > 100,Parallel worker process startup and initialization cost
PERF-SQL-CPU-003-RC22,PERF,medium,total_waits > 10000,CPU cache efficiency loss with parallelism
PERF-SQL-CPU-004-RC01,PERF,medium,stale_table_count > 10,AUTO_UPDATE_STATISTICS disabled or running synchronously
PERF-SQL-CPU-004-RC02,PERF,medium,stale_count > 20,Insufficient AUTO_UPDATE_STATISTICS threshold
PERF-SQL-CPU-004-RC03,PERF,medium,row_count > 0 AND change_pct > 50,Statistics not updated after large bulk operations
PERF-SQL-CPU-004-RC07,PERF,medium,row_count > 0 AND stale or never analyzed,Stale multi-column statistics
PERF-SQL-CPU-004-RC11,PERF,medium,row_count > 0 AND delete_pct > 20,Statistics not refreshed after data cleansing operations
PERF-SQL-CPU-004-RC12,PERF,medium,incremental = 'FALSE' for large partitioned tables,Incremental statistics not enabled for partitioned tables
PERF-SQL-CPU-004-RC16,PERF,medium,value returned,Statistics default assumptions for unknown values
PERF-SQL-CPU-004-RC22,PERF,medium,row_count > 0 AND any stale_stats = 'YES',Temporal tables (system-versioned tables) with stale statistics
PERF-SQL-IO-001-RC01,PERF,medium,any avg_read_ms > 20,Insufficient disk I/O throughput (IOPS)
PERF-SQL-IO-001-RC02,PERF,medium,log file parallel write avg_wait_sec > 0.005,Slow or misconfigured RAID array
PERF-SQL-IO-001-RC03,PERF,medium,redo write time / redo writes > 5,Absence of battery-backed write cache (BBU)
PERF-SQL-IO-001-RC04,PERF,medium,any servicetime values are elevated,Storage controller bottleneck
PERF-SQL-IO-001-RC06,PERF,medium,sequential_read_pct > 80,High demand for random I/O operations
PERF-SQL-IO-001-RC07,PERF,medium,row_count > 0 AND avg_wait_sec > 0.010,Mechanical hard disk drives (HDDs) under load
PERF-SQL-IO-001-RC08,PERF,medium,disk_asynch_io = 'FALSE' OR filesystemio_options != 'SETALL',Inadequate disk queue depth and request scheduling
PERF-SQL-IO-001-RC11,PERF,medium,db_file_multiblock_read_count is very low,Insufficient disk prefetching or read-ahead strategy
PERF-SQL-IO-001-RC12,PERF,medium,slow_files / total_files > 0.5,"Storage interconnect saturation (Fibre Channel, iSCSI, NFS latency)"
PERF-SQL-IO-001-RC13,PERF,medium,row_count > 0 AND latency > 10,Memory pressure on the storage subsystem
PERF-SQL-IO-001-RC14,PERF,medium,log file parallel write avg_wait_sec > 0.005,Disk write cache disabled or in write-through mode
PERF-SQL-IO-002-RC01,PERF,medium,total_waits > 100000 AND avg_wait_sec > 0.005,High transaction commit rate
PERF-SQL-IO-002-RC02,PERF,medium,log file parallel write avg_wait_sec > 0.005,Single log file on shared storage
PERF-SQL-IO-002-RC03,PERF,medium,ms_per_write > 5,Slow log write performance
PERF-SQL-IO-002-RC04,PERF,medium,any event = 'log buffer space' AND total_waits > 100,Insufficient redo/transaction log buffer size
PERF-SQL-IO-002-RC05,PERF,medium,avg_wait_ms > 5,Synchronous log flush settings
PERF-SQL-IO-002-RC06,PERF,medium,miss_pct > 1,Lock contention on log allocation structures
PERF-SQL-IO-002-RC07,PERF,medium,total_waits > 100,Log buffer allocation retries
PERF-SQL-IO-002-RC11,PERF,medium,avg_wait_ms > 5,Log writer process throttled
PERF-SQL-IO-002-RC12,PERF,medium,miss_pct > 1,Log cache line bouncing on multi-socket systems
PERF-SQL-IO-002-RC14,PERF,medium,commits_per_write < 2,Group commit not functioning efficiently
PERF-SQL-IO-002-RC15,PERF,medium,total_waits > 10,Checkpoint or recovery process blocking log writes
PERF-SQL-IO-003-RC03,PERF,medium,target_mttr < 30,Checkpoint completion target too aggressive
PERF-SQL-IO-003-RC06,PERF,medium,avg_wait_ms > 10,Full page writes enabled during checkpoint
PERF-SQL-IO-003-RC08,PERF,medium,buffer_cache_hit_ratio < 90,Database working set larger than available RAM
PERF-SQL-IO-003-RC10,PERF,medium,row_count > 0 AND avg_wait_ms > 50,Lock/latch contention during checkpoint
PERF-SQL-IO-003-RC11,PERF,medium,fast_start_mttr_target < 60 AND fast_start_mttr_target > 0,Database recovery time objective (RTO) tuned too aggressively
PERF-SQL-IO-003-RC12,PERF,medium,TOTAL_WAITS > 10,Synchronous checkpoint execution
PERF-SQL-IO-003-RC13,PERF,medium,VALUE > 1,Multiple concurrent checkpoints
PERF-SQL-IO-003-RC14,PERF,medium,avg_wait_ms > 20,Insufficient I/O parallelism during checkpoint
PERF-SQL-IO-003-RC15,PERF,medium,avg_write_ms > 20,Storage subsystem unable to handle sustained I/O rate
PERF-SQL-IO-004-RC01,PERF,medium,file_count < 4,Insufficient temporary workspace data files
PERF-SQL-IO-004-RC08,PERF,medium,gtt_count > 20,Global temporary table (##temp) overuse
PERF-SQL-IO-004-RC10,PERF,medium,sorts_disk > 100 OR multipass > 0,Sort and hash aggregate operations spilling
PERF-SQL-IO-004-RC12,PERF,medium,over_alloc_count > 0 OR allocated_mb > target_mb * 0.9,Memory pressure forcing temporary workspace allocations
PERF-SQL-IO-004-RC13,PERF,medium,row_count > 0 AND temp_mb > 500,Index creation or rebuild using temporary workspace
PERF-SQL-IO-004-RC16,PERF,medium,any(name='data blocks consistent reads - undo records applied' AND value > 1000000),Version store for snapshot isolation
PERF-SQL-IO-004-RC17,PERF,medium,max(physical_reads + physical_writes) > 3 * avg(physical_reads + physical_writes),Workload patterns causing uneven file load
PERF-SQL-IO-004-RC18,PERF,medium,any(event='buffer busy waits' AND total_waits > 10000) OR any(event='enq: HW - contention' AND total_waits > 0),Allocation bitmap page updates not batched
PERF-SQL-IX-001-RC03,PERF,medium,any(status = 'DISABLED') OR any(last_good_date < SYSDATE - 7),Stale table statistics
PERF-SQL-IX-003-RC04,PERF,medium,"leaf_node_splits > 0 AND (leaf_node_splits - leaf_node_90_10_splits) / GREATEST(leaf_node_splits, 1) > 0.3",Mixed sequential and random insert patterns
PERF-SQL-IX-003-RC12,PERF,medium,row_count > 0 with active index operations,Concurrent DML during index operations
PERF-SQL-IX-004-RC04,PERF,medium,row_count > 0 with monitored but unused indexes,Narrow index subset of wider index
PERF-SQL-IX-004-RC08,PERF,medium,row_count > 0 with old indexes that may be orphaned,Migration/replication creating orphaned duplicates
PERF-SQL-IX-004-RC12,PERF,medium,row_count > 0 with secondary indexes on IOT PK columns,Clustered and nonclustered on same columns
PERF-SQL-IX-005-RC02,PERF,medium,row_count > 0 with high avg_rows_per_value,Index on country/region codes
PERF-SQL-IX-005-RC04,PERF,medium,row_count > 0 with dominant value covering >80% of rows,Index on status column with uneven distribution
PERF-SQL-IX-005-RC05,PERF,medium,row_count > 0 with very high avg_rows_per_date,Date field with many identical values
PERF-SQL-IX-005-RC06,PERF,medium,row_count > 0 with high density values,Index on sparse categorical data
PERF-SQL-IX-005-RC07,PERF,medium,row_count > 0 with very low lead_selectivity_pct,Composite index with non-selective leading column
PERF-SQL-IX-005-RC09,PERF,medium,selectivity_pct > 30,Outdated statistics masking low selectivity
PERF-SQL-IX-006-RC01,PERF,medium,total_dml > 100000,Excessive indexes on write-heavy table
PERF-SQL-IX-006-RC11,PERF,medium,indexes_per_table > 5,Lack of index maintenance policy
PERF-SQL-IX-006-RC12,PERF,medium,extent_management = 'DICTIONARY' OR segment_space_management = 'MANUAL',Storage engine configuration not optimizing index overhead
PERF-SQL-IX-007-RC07,PERF,medium,any_value parameter = 'NLS_CHARACTERSET' AND value LIKE '%UTF%',Collation and character set expansion
PERF-SQL-IX-007-RC12,PERF,medium,any_value value > 10000,Fill factor not accounting for key width
PERF-SQL-LC-001-RC12,PERF,medium,total_waits > 100,UPDATE within same transaction
PERF-SQL-LC-001-RC13,PERF,medium,sum(deadlock_count) > 10,Incomplete transaction rollback handling
PERF-SQL-LC-001-RC14,PERF,medium,total_waits > 50,Lock escalation threshold breach
PERF-SQL-LC-002-RC02,PERF,medium,total_waits > 100,Unoptimized query with table scan
PERF-SQL-LC-002-RC04,PERF,medium,undo_blocks > 10000,Excessive row count in single operation
PERF-SQL-LC-002-RC06,PERF,medium,row_count > 0 AND lock_count > 0,Idle-in-transaction connections
PERF-SQL-LC-002-RC07,PERF,medium,deadlock_count > 50,Deadlock detection overhead
PERF-SQL-LC-002-RC08,PERF,medium,total_waits > 1000,High concurrency with sequential inserts
PERF-SQL-LC-002-RC09,PERF,medium,total_waits > 100,Metadata lock contention
PERF-SQL-LC-002-RC11,PERF,medium,lock_wait_pct > 20,Connection pool exhaustion
PERF-SQL-LC-002-RC13,PERF,medium,peak_pct > 80,Insufficient internal lock structures
PERF-SQL-LC-003-RC02,PERF,medium,undo_blocks > 5000 AND lock_count > 5,Large transaction scope
PERF-SQL-LC-003-RC03,PERF,medium,total_waits > 100,Missing indexes on modification queries
PERF-SQL-LC-003-RC04,PERF,medium,total_waits > 100,Lock escalation to table level
PERF-SQL-LC-003-RC08,PERF,medium,total_waits > min_waits,Sequential key inserts (hot page)
PERF-SQL-LC-004-RC01,PERF,medium,total_waits > min_waits,High-volume sequential inserts
PERF-SQL-LC-004-RC03,PERF,medium,total_waits > 100,Insufficient buffer pool memory
PERF-SQL-LC-004-RC05,PERF,medium,row_count > 0 AND miss_pct > 1,Large number of logical processors without NUMA affinity
PERF-SQL-LC-004-RC06,PERF,medium,row_count > 0 AND significant waits on temp events,Temporary workspace metadata contention
PERF-SQL-LC-004-RC07,PERF,medium,avg_wait_secs > 0.02 for any event,I/O subsystem performance issues
PERF-SQL-LC-004-RC11,PERF,medium,leaf node 90-10 splits is close to total leaf node splits,Clustered index on sequential column
PERF-SQL-LC-004-RC13,PERF,medium,row_count > 0 AND any miss_pct > 1,Latch spin-lock exhaustion
PERF-SQL-LC-004-RC14,PERF,medium,latch waits and gc waits are high,NUMA architecture imbalance
PERF-SQL-LC-005-RC10,PERF,medium,row_count > 0 AND time_waited_sec > 10,Lock escalation blocking forward progress
PERF-SQL-MEM-001-RC01,PERF,medium,over allocation count > 0 OR cache hit percentage < 80 OR buffer_cache_hit_pct < 90,Insufficient RAM Allocation
PERF-SQL-MEM-001-RC02,PERF,medium,hit_ratio_pct < 90,Undersized Buffer Pool
PERF-SQL-MEM-001-RC03,PERF,medium,total_pga_mb > 4096,Excessive Concurrent Connections
PERF-SQL-MEM-001-RC11,PERF,medium,undo_mb > 100,Long-Running Transactions
PERF-SQL-MEM-002-RC03,PERF,medium,is_bind_sensitive = 'Y',Parameter Sniffing
PERF-SQL-MEM-002-RC08,PERF,medium,row_count > 0 AND DEGREE > 8,Excessive Parallelism Degree
PERF-SQL-MEM-002-RC15,PERF,medium,ESTD_PGA_CACHE_HIT_PERCENTAGE < 90 OR ESTD_OVERALLOC_COUNT > 0,Bounded Sort/Hash Configuration
PERF-SQL-MEM-003-RC01,PERF,medium,sga_pct_of_physical < 40,Insufficient RAM Allocation
PERF-SQL-MEM-003-RC02,PERF,medium,buffer_cache_hit_ratio < 90,Undersized Buffer Pool Configuration
PERF-SQL-MEM-003-RC03,PERF,medium,"phys_reads / NULLIF(logical_reads, 0) > 0.15",Table Working Dataset Exceeds Buffer Pool Size
PERF-SQL-MEM-003-RC07,PERF,medium,TOTAL_WAITS > 100,High DML Activity
PERF-SQL-MEM-003-RC11,PERF,medium,"scan_blocks / NULLIF(total_gets, 0) > 0.3",Scan-Intensive Workload
PERF-SQL-MEM-003-RC12,PERF,medium,any(gtt_count > 20),Temporary Table Proliferation
PERF-SQL-MEM-003-RC13,PERF,medium,cache_hit_ratio < 90,Query Results Displacing Cache
PERF-SQL-MEM-003-RC14,PERF,medium,any(total_waits > 10000),Concurrent Competing Queries
PERF-SQL-MEM-003-RC15,PERF,medium,scattered_read_waits > sequential_read_waits * 2,Readahead Prefetch Too Aggressive
PERF-SQL-MEM-004-RC02,PERF,medium,any(name='over allocation count' AND value > 0),Stale or Outdated Statistics
PERF-SQL-PL-001-RC01,PERF,medium,peak_pct > 80 OR peak_pct < 5,Misconfigured Global Max Parallelism
PERF-SQL-PL-001-RC03,PERF,medium,any estimate_ratio > 10,Inaccurate Cardinality Estimation
PERF-SQL-PL-001-RC04,PERF,medium,cpu_count > cores OR max_servers > cores * 4,Virtualization/Container Resource Overcommitment
PERF-SQL-PL-001-RC05,PERF,medium,any avg_wait_ms > 20,IO Subsystem Saturation
PERF-SQL-PL-001-RC10,PERF,medium,any max_utilization > limit_value * 0.9,OS Thread/Process Limit Exhaustion
PERF-SQL-PL-002-RC02,PERF,medium,any size_ratio > 5,Partitioning Skew
PERF-SQL-PL-002-RC09,PERF,medium,high wait times for PX Deq events,Start-up Latency
PERF-SQL-PL-003-RC01,PERF,medium,downgraded operations count is significant,Global Thread Pool Exhaustion
PERF-SQL-PL-003-RC03,PERF,medium,row_count > 0 with deep blocking chains or many blocked sessions,Blocking Chains
PERF-SQL-PL-003-RC04,PERF,medium,peak minute has > 50 connections,Connection Storms
PERF-SQL-PL-003-RC05,PERF,medium,FREE_MEMORY_BYTES < PHYSICAL_MEMORY_BYTES * 0.05,Memory Pressure
PERF-SQL-PL-003-RC07,PERF,medium,enqueue deadlocks value > 10,Deadlocks
PERF-SQL-PL-003-RC08,PERF,medium,row_count > 0 with PX servers idle but still allocated,Sub-optimal Thread Release
PERF-SQL-PL-004-RC01,PERF,medium,onepass + multipass > optimal * 0.05,Insufficient Memory Grant
PERF-SQL-PL-004-RC02,PERF,medium,row_count > 0 with large tables having stale statistics,Outdated Statistics
PERF-SQL-PL-004-RC03,PERF,medium,significant variance in pga_mb within same qcsid group,Data Skew (Memory Imbalance)
PERF-SQL-PL-004-RC04,PERF,medium,estd_overalloc_count > 0 at current target factor (1.0),Fragmentation of Sort/Hash Memory
PERF-SQL-PL-004-RC05,PERF,medium,avg_wait_ms > 10,Temporary workspace latency
PERF-SQL-PL-004-RC06,PERF,medium,row_count > 0 with high oversize_ratio,Incorrect Data Type Sizes
PERF-SQL-PL-004-RC07,PERF,medium,cache hit percentage < 90 OR over allocation count > 0 OR global memory bound is very small,"Lack of ""Available"" Memory"
PERF-SQL-PL-004-RC08,PERF,medium,avg_wait_ms for temp operations is high and PX Deq Credit is significant,Serialization of Spill IO
PERF-SQL-QE-001-RC01,PERF,medium,row_count > 0 with high buffer_gets per execution,Missing or poorly designed indexes
PERF-SQL-QE-001-RC03,PERF,medium,Host CPU > 80 OR Database Wait Time Ratio > 50 OR Average Active Sessions > 4 * 2,Insufficient hardware resources
PERF-SQL-QE-001-RC14,PERF,medium,buffer_cache_hit_ratio < 95,Page cache misses
PERF-SQL-QE-003-RC08,PERF,medium,any_value pname = 'CPUSPEEDNW' AND pval1 IS NULL,Missing or outdated system statistics
PERF-SQL-QE-004-RC01,PERF,medium,row_count > 0 AND some cursors have is_bind_aware = 'N',Stored procedure first compiled with unrepresentative parameter values
PERF-SQL-QE-004-RC03,PERF,medium,different join operations for same sql_id,Optimizer selects different join strategy for different selectivity
PERF-SQL-QE-004-RC04,PERF,medium,same sql_id has both INDEX and TABLE ACCESS FULL plans,Index seek optimal for one value but scan optimal for another
PERF-SQL-QE-004-RC05,PERF,medium,number_passes > 1,"Memory grant calculated once, insufficient for diverse parameters"
PERF-SQL-QE-004-RC07,PERF,medium,estimate_ratio > 10 OR estimate_ratio < 0.1,Optimizer cost threshold misjudgment
PERF-SQL-QE-004-RC08,PERF,medium,optimizer_adaptive_plans = 'FALSE' OR optimizer_adaptive_statistics = 'FALSE',Adaptive query execution disabled
PERF-SQL-QE-004-RC10,PERF,medium,one_exec_cursors / total_cursors > 0.5,Ad-hoc query with literal values compiled differently
PERF-SQL-QE-004-RC14,PERF,medium,single_exec_pct > 50,Dynamic SQL not using sp_executesql
PERF-SQL-QE-005-RC06,PERF,medium,NLS parameters returned,Collation mismatch forcing conversion
PERF-SQL-QE-006-RC03,PERF,medium,row_count > 0 AND gets_per_exec is much higher than rows_per_exec,Scalar subquery with no optimization
PERF-SQL-QE-008-RC05,PERF,medium,estd_overalloc_count > 0,Undersized work_mem or sort_buffer_size
PERF-SQL-QE-008-RC14,PERF,medium,pct_used > 80,Uncontrolled parallel degree allocation
PERF-SQL-TX-001-RC09,PERF,medium,avg_wait_ms > 50,Network Latency/Bandwidth
PERF-SQL-TX-002-RC02,PERF,medium,Redo_Generated_Per_Sec > 20971520,High Volume Data Load
PERF-SQL-TX-002-RC03,PERF,medium,unbackedup_logs > 50 AND total_mb > 5120,Infrequent Log Backups
PERF-SQL-TX-002-RC04,PERF,medium,unapplied_logs > 100,Replication/Mirroring Lag
PERF-SQL-TX-002-RC08,PERF,medium,any(avg_write_time_cs > 5),Disk I/O Bottleneck
PERF-SQL-TX-002-RC09,PERF,medium,any(size_mb < 200),Auto-Growth Configuration
PERF-SQL-TX-003-RC05,PERF,medium,hwm_pct > 60 AND current_utilization > max_utilization * 0.7,Connection Pool Leak
PERF-SQL-TX-004-RC01,PERF,medium,any(value > 0),Deadlocks
PERF-SQL-TX-004-RC05,PERF,medium,rollback_pct > 10,Application Validation Logic
PERF-SQL-TX-004-RC09,PERF,medium,resource_manager_plan IS NOT NULL AND resource_manager_plan != '',Query Governor Limits
PERF-SQL-VS-001-RC01,PERF,medium,any tx_age_min > 60,Long-running transactions holding old transaction IDs
PERF-SQL-VS-001-RC10,PERF,medium,used_pct > 80,Temporary tables not cleaned up
PERF-SQL-VS-002-RC08,PERF,medium,row_count > 0 with disproportionately large LOB segments,Bulk INSERT/UPDATE/DELETE cycles without intervening VACUUM
PERF-SQL-VS-002-RC14,PERF,medium,row_count > 0 with many partitions and large total LOB size,Too many active partitions with TOAST columns
SEC-SQL-ACC-010-RC09,SEC,medium,"isolation_level IN ('SERIALIZABLE', 'REPEATABLE-READ')",Data exfiltration patterns in transactions
SEC-SQL-ACC-010-RC11,SEC,medium,lock_wait_timeout_sec > 50,Schema reconnaissance activity
SEC-SQL-ACC-010-RC12,SEC,medium,wait_seconds > 50,Dormant account suddenly active
SEC-SQL-AU-001-RC01,SEC,medium,PASSWORD_VERIFY_FUNCTION = 'NULL' OR FAILED_LOGIN_ATTEMPTS = 'UNLIMITED',Installation defaults not changed
SEC-SQL-AU-001-RC04,SEC,medium,SUM(issue_count) > 2,Lack of post-deployment hardening checklist
SEC-SQL-AU-001-RC06,SEC,medium,SUM(has_issue) > 0,Incomplete migration procedures
SEC-SQL-AU-001-RC09,SEC,medium,any_value authentication_type = 'PASSWORD' AND account_count > 5,No integration with identity provisioning
SEC-SQL-AU-001-RC10,SEC,medium,any_value sys_priv_count + role_count > 10,Account privilege escalation over time
SEC-SQL-AU-003-RC01,SEC,medium,any_value resource_name = 'PASSWORD_LIFE_TIME' AND limit = 'UNLIMITED',Default configuration never modified
SEC-SQL-AU-003-RC02,SEC,medium,any_value limit = 'NULL',Complexity enforcement disabled intentionally
SEC-SQL-AU-003-RC05,SEC,medium,status != 'VALID' OR row_count = 0,Complexity vs. length tradeoff avoided
SEC-SQL-AU-003-RC07,SEC,medium,PASSWORD_VERIFY_FUNCTION = 'NULL' OR PASSWORD_LIFE_TIME = 'UNLIMITED' OR FAILED_LOGIN_ATTEMPTS = 'UNLIMITED',User friction avoidance
SEC-SQL-AU-003-RC09,SEC,medium,multiple profiles with different PASSWORD_VERIFY_FUNCTION or PASSWORD_LIFE_TIME,No centralized policy definition
SEC-SQL-AU-003-RC11,SEC,medium,AUDIT_TRAIL = 'NONE' OR no audit policy for login,Lack of monitoring tools
SEC-SQL-AU-004-RC02,SEC,medium,value = 'TRUE',Oracle REMOTE_OS_ROLES enabled
SEC-SQL-AU-004-RC05,SEC,medium,remote_os_authent = 'TRUE',OS authentication module delegation
SEC-SQL-AU-004-RC06,SEC,medium,authentication includes kerberos but encryption is not REQUIRED,Kerberos/SSPI authentication without encryption
SEC-SQL-AU-004-RC08,SEC,medium,remote_os_authent = 'TRUE',No validation of OS identity
SEC-SQL-AU-004-RC10,SEC,medium,ext_auth_users > 0,Assume-inside-firewall security model
SEC-SQL-AU-004-RC12,SEC,medium,no LOGON audit policy enabled OR audit_trail = 'NONE',No OS authentication logging
SEC-SQL-AU-005-RC04,SEC,medium,multiple authentication_type values exist,Incomplete migration
SEC-SQL-AU-005-RC10,SEC,medium,PASSWORD_VERIFY_FUNCTION is NULL or DEFAULT with weak verification,Lateral movement not considered
SEC-SQL-AU-005-RC11,SEC,medium,row_count > 0 OR row_count = 0 with kerberos params set,Kerberos delegation configuration complexity
SEC-SQL-AU-005-RC13,SEC,medium,row_count > 0 AND comprehensive policies enabled,No automated compliance scanning
SEC-SQL-AU-006-RC01,SEC,medium,row_count > 0 AND some accounts have NULL or very old last_login,No activity monitoring
SEC-SQL-AU-006-RC08,SEC,medium,ldap_directory_access = 'NONE' OR row_count = 0,HR/Identity integration absent
SEC-SQL-AU-006-RC14,SEC,medium,audit_trail = 'NONE' OR audit_sys_operations = 'FALSE',Audit trails insufficient
SEC-SQL-AU-007-RC07,SEC,medium,row_count = 0 OR any encryption = 'REJECTED',Configuration file management tools
SEC-SQL-AU-007-RC09,SEC,medium,remote_login_passwordfile = 'NONE',Recovery procedure reliance
SEC-SQL-AU-007-RC11,SEC,medium,unique_clients > 5,Single-node assumption
SEC-SQL-AU-007-RC12,SEC,medium,any account_status LIKE '%LOCKED%' OR account_status LIKE '%EXPIRED%',Administrator password forgotten or locked
SEC-SQL-AUD-001-RC01,SEC,medium,value = 'NONE',Global logging switch is disabled
SEC-SQL-AUD-001-RC06,SEC,medium,enabled_policies < 3,Performance-based disablement
SEC-SQL-AUD-001-RC10,SEC,medium,account_status != 'OPEN',Plugin initialization failure
SEC-SQL-AUD-002-RC01,SEC,medium,retention_days < 90,Aggressive rotation configuration
SEC-SQL-AUD-002-RC02,SEC,medium,pct_used > 85,Insufficient disk space
SEC-SQL-AUD-002-RC04,SEC,medium,retention_days < 90,Default retention policies
SEC-SQL-AUD-002-RC06,SEC,medium,row_count = 0 OR status = 'FAILED',"Misconfigured ""Purge"" jobs"
SEC-SQL-AUD-002-RC07,SEC,medium,size_mb > 2048,File system quotas
SEC-SQL-AUD-002-RC10,SEC,medium,record_count = 0 OR oldest_record > SYSDATE - 90,Manual deletion by admins
SEC-SQL-AUD-003-RC01,SEC,medium,audit_trail LIKE '%OS%' OR audit_trail LIKE '%XML%',Insecure file permissions
SEC-SQL-AUD-003-RC03,SEC,medium,"audit_trail IN ('OS', 'XML', 'XML,EXTENDED') OR audit_sys_operations = 'TRUE'",Lack of File Integrity Monitoring (FIM)
SEC-SQL-AUD-003-RC04,SEC,medium,"audit_trail IN ('OS', 'XML', 'XML,EXTENDED')",Service account ownership
SEC-SQL-AUD-003-RC05,SEC,medium,"audit_mode IN ('OS', 'XML', 'XML,EXTENDED')","Missing ""Append-Only"" attributes"
SEC-SQL-AUD-003-RC06,SEC,medium,audit_syslog_level IS NULL OR audit_syslog_level = '',Audit logs not shipped remotely
SEC-SQL-AUD-004-RC02,SEC,medium,FAILURE = 'NO' OR row_count = 0,"""Successful Logins Only"" filter"
SEC-SQL-AUD-004-RC03,SEC,medium,sessions_audited = 0,Connection string errors
SEC-SQL-AUD-005-RC02,SEC,medium,"value IN ('NONE', 'OS')",Granularity settings
SEC-SQL-AUD-005-RC05,SEC,medium,any(audit_status = 'NOT_AUDITED'),Deployment via Scripts
SEC-SQL-AUD-005-RC06,SEC,medium,any(audit_status = 'NOT_AUDITED'),Temporary Table Exclusion
SEC-SQL-AUD-005-RC08,SEC,medium,"any(name='audit_trail' AND value IN ('DB', 'OS', 'NONE'))",Statement Truncation
SEC-SQL-AUD-011-RC03,SEC,medium,value_check,Audit or log table truncated or dropped
SEC-SQL-AZ-001-RC03,SEC,medium,row_count > :public_threshold,Developer environments influence production practices
SEC-SQL-AZ-001-RC10,SEC,medium,any(session_privs > 0 AND object_count > 10),Legacy applications with hardcoded privilege assumptions
SEC-SQL-AZ-001-RC14,SEC,medium,any(sys_priv_count > 5 OR role_count > 3),Shared service and application accounts
SEC-SQL-AZ-002-RC03,SEC,medium,custom_role_count < 3,Temporary workarounds becoming permanent
SEC-SQL-AZ-002-RC04,SEC,medium,total_public_grants > 50,Legacy database practices
SEC-SQL-AZ-003-RC04,SEC,medium,all(authentication_type = 'DATABASE'),Lack of integration between HR systems and database access
SEC-SQL-AZ-003-RC06,SEC,medium,row_count > 0 with service-type account names,Service and application accounts without ownership tracking
SEC-SQL-AZ-003-RC09,SEC,medium,large number of total_accounts relative to expected user base,Cross-database and application account complexity
SEC-SQL-AZ-003-RC10,SEC,medium,row_count > 0 with very old accounts still active,Legacy account creation without documentation
SEC-SQL-AZ-003-RC12,SEC,medium,row_count > 0 with many users having DBA-level roles,Lack of privileged access management (PAM) systems
SEC-SQL-AZ-004-RC03,SEC,medium,row_count > 0 with broad directory paths or many grantees,Business intelligence and reporting tool requirements
SEC-SQL-AZ-004-RC05,SEC,medium,row_count > 0 with grants to non-admin users,Default configuration not hardened during installation
SEC-SQL-AZ-004-RC06,SEC,medium,row_count > 0 with application/developer accounts having file access,Developer convenience during development
SEC-SQL-AZ-004-RC07,SEC,medium,row_count > 0 with grants to individual DBA or developer accounts,Troubleshooting and ad-hoc data extraction
SEC-SQL-AZ-004-RC09,SEC,medium,row_count > 0 with many grants across accounts,Historical privilege accumulation
SEC-SQL-AZ-005-RC08,SEC,medium,audited_objects = 0,Lack of audit or monitoring of cross-database access
SEC-SQL-AZ-005-RC09,SEC,medium,SUM(count) > 3,Testing configurations carried forward to production
SEC-SQL-CFG-003-RC09,SEC,medium,custom_schemas > 20,Documentation Failures
SEC-SQL-CFG-003-RC14,SEC,medium,CDB configuration identified,Multi-Tenant Instance Management
SEC-SQL-CFG-004-RC01,SEC,medium,JAVAVM component present,Application Code Execution Requirement
SEC-SQL-CFG-004-RC02,SEC,medium,insecure values detected,Performance Optimization
SEC-SQL-CFG-004-RC03,SEC,medium,row_count > 0 AND sys_privs is high,Third-Party Tool Dependencies
SEC-SQL-CFG-004-RC12,SEC,medium,debug or trace parameters enabled,Insufficient Configuration Segregation
SEC-SQL-CFG-004-RC13,SEC,medium,Unified Auditing is TRUE,Monitoring Gaps
SEC-SQL-CFG-006-RC10,SEC,medium,any age_days > 365,Long-Lived Credentials
SEC-SQL-ENC-001-RC03,SEC,medium,value = 'ACCEPTED' OR row_count = 0,Backward Compatibility Requirements
SEC-SQL-ENC-001-RC06,SEC,medium,row_count = 0 OR isdefault = 'TRUE',Lack of DBA Encryption Knowledge
SEC-SQL-ENC-001-RC07,SEC,medium,status != 'OPEN' OR row_count = 0,Certificate Management Complexity
SEC-SQL-ENC-001-RC09,SEC,medium,encryption_params = 0,Network Architecture Assumptions
SEC-SQL-ENC-002-RC01,SEC,medium,SSL_VERSION includes 1.0 or 1.1,Legacy Application Dependency on TLS 1.0/1.1
